36
34||0|0|0|0
32||0|0|0|0
27||0|0|0|0
26||0|0|0|0
24||0|0|0|0
25||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
||0|0|0|0
|null|0|0|0|0
|null|0|0|0|0
|asd|11|11|22|4
2023-12-07|asd|123|123|246|1
2023-12-20|asd|123|123|246|1
2023-12-15|asd|123|123|246|5
2021-12-07|asd|12|12|24|1
2023-12-06|asd|123|123|246|1
2023-12-08|asd|123|123|246|1
2023-12-07|asd|123|123|246|1
2018-12-08|asd|123|123|246|1
2023-12-21|asd|123|123|246|6
