77
1997|3.7.1961|5|0|0
1997|29.11.1973|45|0|0
1997|12.11.2031|0|0|0
1997|12.11.1937|0|0|0
1997|21.10.2026|0|0|0
1997|16.5.1910|0|0|0
1997|30.10.2003|0|0|0
1997|23.2.1928|0|0|0
1997|23.4.1956|0|0|0
1997|24.2.2039|0|0|0
1997|15.12.2097|0|0|0
1997|28.4.2049|0|0|0
1997|5.3.2016|0|0|0
1997|3.9.2051|0|0|0
1997|22.5.1943|0|0|0
1997|6.9.1955|0|0|0
1997|18.5.2049|0|0|0
1997|2.2.1942|0|0|0
1997|6.9.1931|0|0|0
1997|12.7.1978|0|0|0
1997|12.10.2097|0|0|0
1997|9.7.2052|0|0|0
1997|11.5.2076|0|0|0
1997|13.2.1956|0|0|0
1997|17.11.1935|0|0|0
1997|4.8.1997|0|0|0
1997|5.11.2042|0|0|0
1997|5.3.1919|0|0|0
1997|24.5.2016|0|0|0
1997|9.7.1999|0|0|0
1997|23.9.2050|0|0|0
1997|20.4.2020|28|568|76
1997|18.1.1941|794|326|86
1997|20.2.1942|628|168|95
1997|6.12.2009|147|877|72
1997|7.11.2065|995|404|69
1997|24.11.2076|619|172|92
1997|5.3.2043|393|104|87
1997|4.2.2023|761|948|74
1997|10.10.1972|870|543|68
1997|14.5.2094|915|914|83
1997|20.2.2062|321|587|77
1997|22.12.1999|884|867|78
1997|28.1.2085|323|619|81
1997|21.3.2047|225|454|61
1997|6.11.1980|190|401|51
1997|16.7.2024|483|26|81
1997|27.12.2079|283|437|79
1997|27.10.2085|855|179|79
1997|25.8.1955|749|549|70
1997|25.11.2069|583|180|70
1997|15.2.2040|506|702|71
1997|19.4.2095|728|533|91
1997|21.11.1992|470|293|50
1997|3.10.2093|569|486|67
1997|22.11.1921|42|961|55
1997|19.9.1987|899|241|79
1997|4.9.2094|712|506|63
1997|8.10.2029|236|844|78
1997|27.9.1904|738|989|63
1997|10.4.2029|62|473|80
1997|13.6.1928|682|459|62
1997|24.9.1975|834|732|59
1997|11.2.2012|835|199|56
1997|12.3.2061|7|99|80
1997|17.8.1986|582|883|83
1997|29.2.2090|996|77|71
1997|7.10.2097|92|20|77
1997|20.12.1996|781|180|86
1997|16.3.1950|100|515|71
1997|12.5.2042|211|882|51
1997|27.7.2005|1|941|80
1997|6.2.1993|895|241|66
1997|9.6.1958|199|504|83
1997|17.6.1986|858|134|63
1997|4.10.2082|467|892|50
1997|13.2.2019|691|824|69
