17
11|0||11|0|0|0|0
5|0||5|0|0|0|0
836|2|13.5.1961|836|966|42|48|90
866|1|17.8.1969|866|83|40|45|85
692|2|21.9.1939|692|417|47|25|72
866|1|17.8.1969|866|83|40|45|85
317|1|18.3.2059|317|736|22|28|50
711|2|6.3.1997|711|592|25|28|53
487|1|11.2.2002|487|137|36|40|76
353|2|8.4.1972|353|416|26|45|71
487|1|11.2.2002|487|137|36|40|76
788|1|8.11.2046|788|591|27|46|73
519|2|19.3.2049|519|117|37|39|76
905|1|23.3.2045|905|351|36|35|71
890|2|2.11.2022|890|667|42|40|82
905|1|23.3.2045|905|351|36|35|71
121|1|9.4.1931|121|867|33|31|64
